文件,result_357_1783908558.xlsx,result_357_1783909499.xlsx,result_357_1783907935.xlsx,result_357_1783908129.xlsx,result_357_1783908333.xlsx,result_357_1783928476.xlsx,result_357_1783928846.xlsx,result_357_1784017430.xlsx
整体返奖率RTP,98.50%,98.71%,98.40%,98.51%,98.62%,147.08%,118.06%,147.88%
主游戏RTP,70.02%,69.96%,69.77%,69.79%,70.01%,96.04%,76.10%,69.51%
免费游戏RTP,28.48%,28.74%,28.63%,28.72%,28.60%,51.05%,41.96%,78.37%
Bonus游戏RTP,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
主游戏HR（中奖率）,29.62%,29.59%,29.60%,29.64%,29.63%,33.23%,32.34%,30.44%
免费游戏TR（触发概率）,0.50%,0.50%,0.50%,0.50%,0.50%,0.67%,0.54%,1.02%
Bonus游戏TR（触发概率）,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
免费游戏倍数,57.185339,57.394608,57.352094,57.059791,56.985268,76.389137,77.104913,76.645968
Bonus游戏倍数,0,0,0,0,0,0,0,0
轴,5,5,5,5,5,5,5,5
线,2000,2000,2000,2000,2000,2000,2000,2000
最小投注,100000,100000,100000,100000,100000,100000,100000,100000
最大投注,25000000,25000000,25000000,25000000,25000000,25000000,25000000,25000000
最大奖励,168340000,44110000,64385000,104970000,133140000,66740000,70100000,89150000
游戏波动率,7.99363,6.26893,6.26378,6.8392,7.44295,9.40769,8.08178,10.3367
游戏倍数标准差,7.99363,6.26893,6.26378,6.8392,7.44295,9.40769,8.08178,10.3367
千局赢分人数占比,40.57%,43.10%,42.93%,42.20%,42.22%,100.00%,100.00%,100.00%
主游戏倍数分布_0,70.7273%,70.7600%,70.7447%,70.7081%,70.7218%,67.1579%,68.0242%,70.2594%
"主游戏倍数分布_(0,1)",15.8472%,15.8393%,15.8581%,15.8767%,15.8710%,16.2404%,17.7108%,16.2169%
"主游戏倍数分布_[1,5)",10.2592%,10.2359%,10.2417%,10.2626%,10.2459%,12.1601%,10.7176%,10.4054%
"主游戏倍数分布_[5,10)",1.8453%,1.8440%,1.8415%,1.8435%,1.8413%,2.4455%,2.0239%,1.8193%
"主游戏倍数分布_[10,20)",0.8703%,0.8703%,0.8686%,0.8629%,0.8678%,1.2636%,1.0091%,0.8600%
"主游戏倍数分布_[20,50)",0.3740%,0.3738%,0.3694%,0.3700%,0.3752%,0.5913%,0.4319%,0.3641%
"主游戏倍数分布_[50,100)",0.0604%,0.0600%,0.0592%,0.0592%,0.0608%,0.1075%,0.0668%,0.0583%
"主游戏倍数分布_[100,200)",0.0134%,0.0137%,0.0140%,0.0140%,0.0130%,0.0272%,0.0133%,0.0136%
"主游戏倍数分布_[200,500)",0.0028%,0.0028%,0.0026%,0.0029%,0.0030%,0.0059%,0.0024%,0.0028%
"主游戏倍数分布_[500,1000)",0.0001%,0.0001%,0.0001%,0.0001%,0.0002%,0.0005%,0.0001%,0.0001%
主游戏倍数分布_>1000,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0001%,0.0000%,0.0000%
免费游戏(单局)倍数分布_0,69.8496%,70.0610%,70.0320%,69.8546%,69.9672%,68.4495%,68.4952%,68.4453%
"免费游戏(单局)倍数分布_(0,1)",1.8941%,5.7448%,5.6929%,3.0477%,2.7018%,5.5775%,5.5616%,5.5662%
"免费游戏(单局)倍数分布_[1,5)",6.5164%,12.8537%,12.9441%,9.6298%,7.1194%,13.0637%,13.0037%,13.0740%
"免费游戏(单局)倍数分布_[5,10)",5.0582%,4.9217%,4.9111%,6.1025%,5.7741%,5.1407%,5.1529%,5.1478%
"免费游戏(单局)倍数分布_[10,20)",5.7330%,3.4445%,3.4439%,4.8921%,5.4935%,3.8715%,3.8573%,3.8657%
"免费游戏(单局)倍数分布_[20,50)",5.9308%,2.3800%,2.3891%,4.2801%,5.2354%,3.0526%,3.0645%,3.0497%
"免费游戏(单局)倍数分布_[50,100)",2.8462%,0.5167%,0.5095%,1.6005%,2.3213%,0.7309%,0.7473%,0.7367%
"免费游戏(单局)倍数分布_[100,200)",1.5551%,0.0730%,0.0736%,0.5189%,1.1025%,0.1077%,0.1111%,0.1082%
"免费游戏(单局)倍数分布_[200,500)",0.5747%,0.0046%,0.0038%,0.0713%,0.2741%,0.0059%,0.0063%,0.0064%
"免费游戏(单局)倍数分布_[500,1000)",0.0387%,0.0000%,0.0001%,0.0021%,0.0096%,0.0000%,0.0000%,0.0000%
免费游戏(单局)倍数分布_>1000,0.0032%,0.0000%,0.0000%,0.0002%,0.0011%,0.0000%,0.0000%,0.0000%
"免费游戏(整局)倍数分布_(0,1)",5.3529%,0.0719%,0.0921%,1.5019%,3.7771%,0.0314%,0.0276%,0.0364%
"免费游戏(整局)倍数分布_[1,5)",13.1172%,0.9005%,0.8794%,4.5056%,9.0782%,0.4669%,0.4906%,0.4877%
"免费游戏(整局)倍数分布_[5,10)",8.6718%,2.8274%,2.7764%,6.9074%,8.5145%,1.6774%,1.6226%,1.6387%
"免费游戏(整局)倍数分布_[10,20)",13.9364%,10.3672%,10.3403%,14.0612%,14.3574%,6.4329%,6.2699%,6.5678%
"免费游戏(整局)倍数分布_[20,50)",24.0458%,38.3259%,38.6310%,31.5136%,26.9359%,29.6897%,29.5265%,29.6292%
"免费游戏(整局)倍数分布_[50,100)",17.4139%,34.2126%,34.1740%,25.1644%,19.9155%,36.4383%,36.4707%,36.3044%
"免费游戏(整局)倍数分布_[100,200)",11.8823%,12.3400%,12.1111%,13.4633%,12.9291%,21.5389%,21.6432%,21.4670%
"免费游戏(整局)倍数分布_[200,500)",5.2003%,0.9545%,0.9936%,2.8389%,4.3389%,3.6946%,3.9214%,3.8462%
"免费游戏(整局)倍数分布_[500,1000)",0.3574%,0.0000%,0.0020%,0.0417%,0.1434%,0.0299%,0.0276%,0.0227%
免费游戏(整局)倍数分布_>1000,0.0221%,0.0000%,0.0000%,0.0020%,0.0100%,0.0000%,0.0000%,0.0000%
